Player	Prop	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Christian Mccaffrey
260.36 FPTS	rush_att	272.4	-	-	-	-	-	-	272.4	-
1.01 ADP	rush_yd	1156.0	o1150.5 -110/-110	o1100.5 -112/-112	o1150.5 -105/-125	o1125.5 -110/-110	o1150.5 100/-124	o1125.5 100/-120	1289.3	-
	rush_td	10.8	o10.5 -120/+100	o10.5 -108/-118	o11.5 115/-145	o10.5 -130/+100	o10.5 -124/100	o10.5 -105/-115	11.6	-
	rec	63.9	o62.5 -110/-110	o60.5 -112/-112	-	o62.5 -110/-110	-	-	69.9	-
	rec_yd	511.6	o500.5 -110/-110	o500.5 -112/-112	o500.5 -115/-115	o500.5 -110/-110	-	o500.5 -110/-110	567.3	-
	rec_td	4.8	o5.5 +125/-150	o4.5 -118/-108	o3.5 -170/135	-	-	o5.5 125/-150	4.8	-

Breece Hall
223.47 FPTS	rush_att	249.5	-	-	-	-	-	-	249.5	-
1.04 ADP	rush_yd	1040.3	o1050.5 -110/-110	o1050.5 -112/-112	o1050.5 -115/-115	o1025.5 -130/+100	o975.5 -124/100	o1000.5 -115/-105	1129.4	-
	rush_td	7.6	o7.5 -110/-110	o7.5 -102/-124	o7.5 -115/-115	o7.5 -105/-115	o7.5 -105/-118	o7.5 -105/-115	8.1	-
	rec	63.1	-	-	-	-	o59.5 -112/-112	-	66.8	-
	rec_yd	510.4	-	-	o500.5 -115/-115	-	o500.5 -112/-112	-	530.2	-
	rec_td	3.8	-	-	-	-	-	-	3.8	-

Bijan Robinson
222.92 FPTS	rush_att	243.8	-	-	-	-	-	-	243.8	-
1.05 ADP	rush_yd	1013.4	o1000.5 -110/-110	o1025.5 -112/-112	o1020.5 -115/-115	o1000.5 -110/-110	o950.5 -139/110	o975.5 -120/100	1120.9	-
	rush_td	6.8	o6.5 -130/+110	o6.5 -128/+100	o7.5 -105/-125	o6.5 -130/+100	o6.5 -125/102	o6.5 -130/110	7.4	-
	rec	65.8	-	-	-	-	-	-	65.8	-
	rec_yd	549.8	-	-	-	-	-	-	549.8	-
	rec_td	4.3	-	-	-	-	-	-	4.3	-

Jonathan Taylor
200.92 FPTS	rush_att	283.6	-	-	-	-	-	-	283.6	-
1.10 ADP	rush_yd	1082.0	o1075.5 -110/-110	o1050.5 -112/-112	o1050.5 -115/-115	o1025.5 -130/+100	o1075.5 100/-124	o1025.5 -115/-105	1270.7	-
	rush_td	9.2	o8.5 -115/-115	o8.5 -108/-118	o9.5 120/-150	o8.5 -105/-115	o9.5 100/-141	o9.5 105/-125	10.1	-
	rec	37.3	-	-	-	-	-	-	37.3	-
	rec_yd	279.2	-	-	-	-	-	-	279.2	-
	rec_td	1.6	-	-	-	-	-	-	1.6	-

Saquon Barkley
197.29 FPTS	rush_att	268.8	-	-	-	-	-	-	268.8	-
1.11 ADP	rush_yd	1030.9	o1000.5 -110/-110	o1000.5 -112/-112	-	o1025.5 +100/-130	o1025.5 110/-136	o1005.5 -110/-110	1127.6	-
	rush_td	7.3	o7.5 +110/-135	o6.5 -130/+102	-	o6.5 -140/+110	o7.5 103/-127	o6.5 -140/115	9.3	-
	rec	44.2	-	o40.5 -102/-126	-	-	-	-	48.0	-
	rec_yd	324.0	-	o300.5 -112/-112	-	-	-	-	347.5	-
	rec_td	3.0	-	-	-	-	-	-	3.0	-

Jahmyr Gibbs
190.85 FPTS	rush_att	202.5	-	-	-	-	-	-	202.5	-
2.01 ADP	rush_yd	883.7	-	o825.5 -112/-112	-	-	-	-	941.9	-
	rush_td	8.4	-	-	-	-	-	-	8.4	-
	rec	54.6	-	-	-	-	-	-	54.6	-
	rec_yd	388.8	-	-	-	-	-	-	388.8	-
	rec_td	2.2	-	-	-	-	-	-	2.2	-

Derrick Henry
188.29 FPTS	rush_att	269.1	-	-	-	-	-	-	269.1	-
2.06 ADP	rush_yd	993.7	o975.5 -110/-110	o950.5 -112/-112	o950.5 -115/-115	o975.5 -110/-110	o950.5 -112/-112	o950.5 -120/100	1203.1	-
	rush_td	10.6	o10.5 -110/-110	o10.5 -126/-102	o10.5 -115/-115	o10.5 -130/+100	o10.5 -125/102	o10.5 -125/105	11.2	-
	rec	24.9	-	-	-	-	-	-	24.9	-
	rec_yd	199.2	-	-	-	-	-	-	199.2	-
	rec_td	0.9	-	-	-	-	-	-	0.9	-

Kyren Williams
187.87 FPTS	rush_att	245.4	-	-	-	-	-	-	245.4	-
