Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Christian Mccaffrey	4.8	5.5	4.5	3.5	-	-	5.5	4.8	-
Bijan Robinson	4.3	-	-	-	-	-	-	4.3	-
Breece Hall	3.8	-	-	-	-	-	-	3.8	-
Saquon Barkley	3.0	-	-	-	-	-	-	3.0	-
Devon Achane	2.9	-	-	-	-	-	-	2.9	-
James Cook	2.8	-	-	-	-	-	-	2.8	-
Rachaad White	2.4	-	-	-	-	-	-	2.4	-
Jahmyr Gibbs	2.2	-	-	-	-	-	-	2.2	-
Joe Mixon	2.2	-	-	-	-	-	-	2.2	-
Alvin Kamara	2.2	-	-	-	-	-	-	2.2	-
Austin Ekeler	2.0	-	-	-	-	-	-	2.0	-
Kyren Williams	1.9	-	-	-	-	-	-	1.9	-
Isiah Pacheco	1.9	-	-	-	-	-	-	1.9	-
Aaron Jones	1.9	-	-	-	-	-	-	1.9	-
Chase Brown	1.9	-	-	-	-	-	-	1.9	-
Jerome Ford	1.9	-	-	-	-	-	-	1.9	-
Brian Robinson	1.8	-	-	-	-	-	-	1.8	-
Jaylen Warren	1.7	-	-	-	-	-	-	1.7	-
Jonathan Taylor	1.6	-	-	-	-	-	-	1.6	-
Dandre Swift	1.6	-	-	-	-	-	-	1.6	-
Tyjae Spears	1.6	-	-	-	-	-	-	1.6	-
Javonte Williams	1.5	-	-	-	-	-	-	1.5	-
Jk Dobbins	1.5	-	-	-	-	-	-	1.5	-
James Conner	1.4	-	-	-	-	-	-	1.4	-
Zack Moss	1.4	-	-	-	-	-	-	1.4	-
Raheem Mostert	1.3	-	-	-	-	-	-	1.3	-
Ezekiel Elliott	1.3	-	-	-	-	-	-	1.3	-
Josh Jacobs	1.2	-	-	-	-	-	-	1.2	-
Travis Etienne	1.2	-	-	-	-	-	-	1.2	-
Najee Harris	1.2	-	-	-	-	-	-	1.2	-
Rico Dowdle	1.2	-	-	-	-	-	-	1.2	-
Tyler Allgeier	1.2	-	-	-	-	-	-	1.2	-
Antonio Gibson	1.2	-	-	-	-	-	-	1.2	-
Jaleel Mclaughlin	1.2	-	-	-	-	-	-	1.2	-
Clyde Edwards Helaire	1.2	-	-	-	-	-	-	1.2	-
Kyle Juszczyk	1.1	-	-	-	-	-	-	1.1	-
Kenneth Walker	1.0	-	-	-	-	-	-	1.0	-
Bucky Irving	1.0	-	-	-	-	-	-	1.0	-
Alexander Mattison	1.0	-	-	-	-	-	-	1.0	-
Evan Hull	1.0	-	-	-	-	-	-	1.0	-
Derrick Henry	0.9	-	-	-	-	-	-	0.9	-
Tony Pollard	0.9	-	-	-	-	-	-	0.9	-
Jonathon Brooks	0.9	-	-	-	-	-	-	0.9	-
Trey Benson	0.9	-	-	-	-	-	-	0.9	-
Khalil Herbert	0.9	-	-	-	-	-	-	0.9	-
Marshawn Lloyd	0.9	-	-	-	-	-	-	0.9	-
Ray Davis	0.9	-	-	-	-	-	-	0.9	-
David Montgomery	0.8	-	-	-	-	-	-	0.8	-
Zamir White	0.8	-	-	-	-	-	-	0.8	-
Rhamondre Stevenson	0.8	-	-	-	-	-	-	0.8	-
Zach Charbonnet	0.8	-	-	-	-	-	-	0.8	-
Tyrone Tracy	0.8	-	-	-	-	-	-	0.8	-
Braelon Allen	0.8	-	-	-	-	-	-	0.8	-
Samaje Perine	0.8	-	-	-	-	-	-	0.8	-
Devin Singletary	0.7	-	-	-	-	-	-	0.7	-
Blake Corum	0.7	-	-	-	-	-	-	0.7	-
Jaylen Wright	0.7	-	-	-	-	-	-	0.7	-
Ty Johnson	0.7	-	-	-	-	-	-	0.7	-
Nick Chubb	0.6	-	-	-	-	-	-	0.6	-
Ty Chandler	0.6	-	-	-	-	-	-	0.6	-
Jordan Mason	0.6	-	-	-	-	-	-	0.6	-
Chuba Hubbard	0.5	-	-	-	-	-	-	0.5	-
Kenneth Gainwell	0.5	-	-	-	-	-	-	0.5	-
Audric Estime	0.5	-	-	-	-	-	-	0.5	-
Justice Hill	0.5	-	-	-	-	-	-	0.5	-
Kendre Miller	0.5	-	-	-	-	-	-	0.5	-
Eric Gray	0.5	-	-	-	-	-	-	0.5	-
Emanuel Wilson	0.5	-	-	-	-	-	-	0.5	-
Gus Edwards	0.4	-	-	-	-	-	-	0.4	-
Roschon Johnson	0.4	-	-	-	-	-	-	0.4	-
Emari Demercado	0.4	-	-	-	-	-	-	0.4	-
Tyler Goodson	0.4	-	-	-	-	-	-	0.4	-
Jase Mcclellan	0.4	-	-	-	-	-	-	0.4	-
Jeremy Mcnichols	0.4	-	-	-	-	-	-	0.4	-
Jamaal Williams	0.3	-	-	-	-	-	-	0.3	-
Tank Bigsby	0.3	-	-	-	-	-	-	0.3	-
Donta Foreman	0.3	-	-	-	-	-	-	0.3	-
Dalvin Cook	0.3	-	-	-	-	-	-	0.3	-
Cordarrelle Patterson	0.3	-	-	-	-	-	-	0.3	-
Will Shipley	0.3	-	-	-	-	-	-	0.3	-
Alec Ingold	0.3	-	-	-	-	-	-	0.3	-
Reggie Gilliam	0.3	-	-	-	-	-	-	0.3	-
Dameon Pierce	0.2	-	-	-	-	-	-	0.2	-
Keaton Mitchell	0.2	-	-	-	-	-	-	0.2	-
Kimani Vidal	0.2	-	-	-	-	-	-	0.2	-
Trey Sermon	0.2	-	-	-	-	-	-	0.2	-
Cam Akers	0.2	-	-	-	-	-	-	0.2	-
Deuce Vaughn	0.2	-	-	-	-	-	-	0.2	-
Hunter Luepke	0.2	-	-	-	-	-	-	0.2	-
