Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Bijan Robinson	549.8	-	-	-	-	-	-	549.8	-
Christian Mccaffrey	511.6	500.5	500.5	500.5	500.5	-	500.5	567.3	-
Breece Hall	510.4	-	-	500.5	-	500.5	-	530.2	-
Alvin Kamara	446.4	-	-	-	-	425.5	-	467.3	-
Rachaad White	398.2	-	-	400.5	-	-	-	395.9	-
Jahmyr Gibbs	388.8	-	-	-	-	-	-	388.8	-
Austin Ekeler	383.8	-	-	400.5	-	-	-	367.0	-
James Cook	382.4	-	-	-	-	-	-	382.4	-
Travis Etienne	358.1	-	-	-	-	-	-	358.1	-
Devon Achane	348.3	-	-	-	-	-	-	348.3	-
Tyjae Spears	336.0	-	-	-	-	-	-	336.0	-
Saquon Barkley	324.0	-	300.5	-	-	-	-	347.5	-
Jaylen Warren	323.9	-	-	-	-	-	-	323.9	-
Aaron Jones	313.5	-	-	-	-	-	-	313.5	-
Chase Brown	312.6	-	-	-	-	-	-	312.6	-
Joe Mixon	304.4	-	-	-	-	-	-	304.4	-
Josh Jacobs	303.4	-	-	-	-	-	-	303.4	-
Antonio Gibson	286.2	-	-	-	-	-	-	286.2	-
Rhamondre Stevenson	282.2	-	-	-	-	-	-	282.2	-
Jonathan Taylor	279.2	-	-	-	-	-	-	279.2	-
Isiah Pacheco	258.2	-	-	-	-	-	-	258.2	-
Dandre Swift	251.8	-	-	-	-	-	-	251.8	-
Kyren Williams	251.2	-	-	-	-	-	-	251.2	-
Javonte Williams	247.1	-	-	-	-	-	-	247.1	-
Jerome Ford	243.8	-	-	-	-	-	-	243.8	-
Brian Robinson	241.2	-	-	-	-	-	-	241.2	-
Tony Pollard	236.7	-	-	-	-	-	-	236.7	-
Zamir White	229.9	-	-	-	-	-	-	229.9	-
Kenneth Walker	224.2	-	-	-	-	-	-	224.2	-
James Conner	222.2	-	-	-	-	-	-	222.2	-
Jaleel Mclaughlin	215.1	-	-	-	-	-	-	215.1	-
Zach Charbonnet	213.1	-	-	-	-	-	-	213.1	-
Devin Singletary	212.9	-	-	-	-	-	-	212.9	-
Zack Moss	204.7	-	-	-	-	-	-	204.7	-
Derrick Henry	199.2	-	-	-	-	-	-	199.2	-
Ezekiel Elliott	193.8	-	-	-	-	-	-	193.8	-
Chuba Hubbard	192.6	-	-	-	-	-	-	192.6	-
Jk Dobbins	188.4	-	-	-	-	-	-	188.4	-
Rico Dowdle	181.0	-	-	-	-	-	-	181.0	-
Najee Harris	180.8	-	-	-	-	-	-	180.8	-
Raheem Mostert	179.2	-	-	-	-	-	-	179.2	-
Jonathon Brooks	177.9	-	-	-	-	-	-	177.9	-
Samaje Perine	172.8	-	-	-	-	-	-	172.8	-
David Montgomery	167.6	-	-	-	-	-	-	167.6	-
Tyler Allgeier	167.1	-	-	-	-	-	-	167.1	-
Bucky Irving	164.8	-	-	-	-	-	-	164.8	-
Ty Chandler	154.9	-	-	-	-	-	-	154.9	-
Blake Corum	152.3	-	-	-	-	-	-	152.3	-
Kyle Juszczyk	143.7	-	-	-	-	-	-	143.7	-
Trey Benson	139.4	-	-	-	-	-	-	139.4	-
Nick Chubb	138.2	-	-	-	-	-	-	138.2	-
