PLAYER	ECR / ADP	REC	REC_YD	REC_TD	POINTS
Sam Laporta	3.08 / 3.04	82.7	852.8	7.5	130.28
Travis Kelce	3.10 / 3.02	82.0	870.4	6.9	128.44
Mark Andrews	4.11 / 5.02	67.8	778.2	6.7	118.02
George Kittle	7.07 / 5.09	61.4	781.7	5.6	111.77
Dalton Kincaid	6.05 / 5.04	79.1	778.6	5.5	110.86
Trey Mcbride	5.03 / 5.01	82.0	796.4	4.7	107.84
Kyle Pitts	7.03 / 6.06	65.3	785.6	4.6	106.16
David Njoku	8.11 / 8.01	66.9	720.8	4.8	100.88
Jake Ferguson	8.08 / 7.09	69.1	692.7	5.2	100.47
Evan Engram	7.12 / 6.09	82.5	746.0	3.8	97.4
Brock Bowers	9.09 / 8.10	60.2	649.9	4.5	91.99
Dallas Goedert	10.02 / 9.12	64.0	635.4	3.6	85.14
Dalton Schultz	11.02 / 11.01	53.2	533.7	3.8	76.17
*Tj Hockenson	12.09 / 11.06	56.1	561.3	3.2	75.33
Pat Freiermuth	11.01 / 11.08	54.8	504.9	3.7	72.69
*Cade Otton	14.09 / 16.12	49.3	490.1	3.8	71.81
*Hunter Henry	13.06 / 16.08	48.3	450.9	4.4	71.49
*Cole Kmet	13.08 / 12.07	50.9	476.9	3.9	71.09
*Luke Musgrave	13.02 / 15.04	47.5	499.4	3.4	70.34
*Juwan Johnson	16.03 / 21.06	41.7	453.7	4.1	69.97
*Chigoziem Okonkwo	17.06 / 16.11	48.3	513.5	2.7	67.55
*Isaiah Likely	15.08 / 15.07	35.2	423.2	4.1	66.92
Tyler Conklin	14.03 / 16.07	50.4	469.5	3.3	66.75
*Noah Fant	15.01 / 17.09	45.9	488.5	2.8	65.65
*Jonnu Smith	20.08 / 16.05	37.8	417.1	2.9	59.11
*Hayden Hurst	26.06 / 24.04	40.6	390.9	2.9	56.49
*Mike Gesicki	20.02 / 21.12	35.9	352.0	3.1	53.8
*Zach Ertz	21.04 / 23.04	38.4	353.7	2.7	51.57
*Ben Sinnott	19.08 / 16.10	35.5	361.0	2.4	50.5
*Dawson Knox	 / 	28.3	297.5	3.3	49.55
*Tucker Kraft	 / 	32.7	341.3	2.5	49.13
*Greg Dulcich	 / 	33.5	377.0	1.9	49.1
*Theo Johnson	 / 	35.6	345.7	2.3	48.37
*Kylen Granson	 / 	31.0	333.6	2.1	45.96
*Gerald Everett	 / 	32.5	302.0	2.6	45.8
*Jatavion Sanders	 / 	29.9	311.0	2.3	44.9
*Tyler Higbee	 / 	31.8	323.9	2.0	44.39
