Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Tyreek Hill	1396.1	1375.5	1375.5	1375.5	1375.5	1375.5	1350.5	1544.6	-
Ceedee Lamb	1345.2	1350.5	1325.5	1300.5	1325.5	1325.5	1300.5	1488.4	-
Justin Jefferson	1321.5	1300.5	1300.5	1300.5	1300.5	1300.5	1300.5	1447.5	-
Aj Brown	1274.2	1250.5	1250.5	1275.5	1250.5	1275.5	1300.5	1316.7	-
Jamarr Chase	1265.4	1250.5	1200.5	1275.5	1250.5	1250.5	1275.5	1354.7	-
Amon Ra St Brown	1264.9	1250.5	1250.5	1225.5	1275.5	1250.5	1250.5	1351.1	-
Puka Nacua	1162.8	1150.5	1125.5	1100.5	1150.5	-	1150.5	1299.0	-
Garrett Wilson	1138.4	1125.5	1125.5	1150.5	1150.5	1125.5	1100.5	1190.5	-
Chris Olave	1082.8	1025.5	1050.5	1050.5	1075.5	1100.5	1075.5	1201.3	-
Marvin Harrison	1057.6	1000.5	1050.5	1050.5	1075.5	1000.5	1050.5	1175.1	-
Mike Evans	1053.5	1050.5	1025.5	1025.5	1050.5	1050.5	1050.5	1121.4	-
Davante Adams	1051.0	1025.5	1000.5	1050.5	1100.5	1050.5	1000.5	1128.8	-
Drake London	1034.7	1000.5	1050.5	1000.5	1000.5	1050.5	1000.5	1139.9	-
Nico Collins	1032.9	1050.5	1025.5	1000.5	1000.5	1000.5	1000.5	1152.2	-
Jaylen Waddle	1025.2	1000.5	1000.5	1000.5	1025.5	1000.5	1025.5	1123.7	-
Devonta Smith	1015.6	975.5	975.5	1000.5	1050.5	1000.5	1025.5	1081.1	-
Brandon Aiyuk	1014.3	950.5	1000.5	-	975.5	-	-	1130.7	-
Dk Metcalf	995.5	1000.5	950.5	1000.5	950.5	1025.5	975.5	1065.8	-
Michael Pittman	995.0	950.5	975.5	975.5	975.5	1000.5	1025.5	1062.2	-
Dj Moore	989.1	950.5	975.5	974.5	1050.5	975.5	950.5	1047.0	-
Amari Cooper	972.4	950.5	925.5	925.5	975.5	-	950.5	1106.6	-
Rashee Rice	959.8	-	-	-	-	-	-	959.8	-
Cooper Kupp	959.1	950.5	950.5	950.5	925.5	900.5	975.5	1060.8	-
George Pickens	948.6	925.5	925.5	925.5	925.5	-	900.5	1089.2	-
Terry Mclaurin	941.1	925.5	925.5	975.5	900.5	900.5	950.5	1009.9	-
Deebo Samuel Sr	924.7	-	-	-	-	-	-	924.7	-
Tee Higgins	921.1	875.5	875.5	975.5	875.5	900.5	-	1024.4	-
Stefon Diggs	919.3	900.5	900.5	900.5	900.5	900.5	900.5	1032.2	-
Malik Nabers	917.4	900.5	900.5	900.5	875.5	850.5	-	1076.7	-
Zay Flowers	916.8	925.5	900.5	900.5	900.5	900.5	925.5	964.6	-
Christian Kirk	904.3	900.5	900.5	865.5	875.5	875.5	-	1008.2	-
Deandre Hopkins	900.9	-	-	-	950.5	-	-	851.3	-
Chris Godwin	898.7	850.5	-	875.5	925.5	900.5	850.5	989.5	-
Calvin Ridley	893.8	875.5	-	875.5	875.5	875.5	885.5	975.0	-
Tank Dell	851.3	825.5	775.5	850.5	850.5	-	-	954.6	-
Jordan Addison	833.8	-	-	-	-	-	-	833.8	-
Diontae Johnson	830.6	825.5	800.5	825.5	825.5	800.5	-	906.0	-
