NAME	OVER	POS	R/L	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	UNDER
Patrick Corbin	-165	SP	L	WSH	v	LAA	25th	15th	er	2.5	1,1,3,4,3,4,1,3,10,4	3.61	70%	70%	48%	50%	5.0 IP 3 K, 7 H, 3 BB	'+120
Griffin Canning	-115	SP	R	LAA	@	WSH	16th	21st	er	2.5	4,5,1,4,4,2,6,1,6,1	3.04	57%	60%	48%	0%	5.0 IP 4 K, 5 H, 0 BB	-115
Corbin Burnes	-165	SP	R	BAL	@	TB	28th	4th	er	1.5	0,2,4,1,2,3,1,3,2,4	1.87	57%	70%	39%	0%	7.0 IP 6 K, 0 H, 0 BB	'+120
Gavin Williams	'+100	SP	R	CLE	@	MIN	7th	11th	er	2.5	5,0,1,3,3,0,6	2.57	57%	50%	38%	0%	6.0 IP 4 K, 1 H, 5 BB	-140
Zac Gallen	-110	SP	R	ARI	v	PHI	8th	8th	er	2.5	3,0,0,3,4,6,0,3,1,5	2.21	53%	60%	36%	20%	5.2 IP 3 K, 5 H, 2 BB	-125
Spencer Arrighetti	-130	SP	R	HOU	@	BOS	4th	10th	er	2.5	1,7,3,0,6,2,1,4,3,1	2.9	50%	50%	100%	0%		-105
Chris Flexen	-125	SP	R	CHW	v	CHC	17th	6th	er	2.5	4,1,4,3,2,2,7,3,2,6	2.92	50%	60%	39%	29%	17.2 IP 11 K, 24 H, 6 BB	-110
Roddery Munoz	-110	SP	R	MIA	v	SD	11th	13th	er	2.5	0,6,4,2,2,4,1,6,2,4	3.14	50%	50%	0%	0%		-120
Logan Gilbert	-175	SP	R	SEA	v	NYM	9th	20th	er	1.5	3,0,0,2,4,3,0,1,7,1	2.17	48%	50%	65%	0%	6.2 IP 9 K, 7 H, 0 BB	'+125
Paul Skenes	-155	SP	R	PIT	@	LAD	5th	2nd	er	1.5	3,0,1,1,1,2,0,2,1,2	1.36	43%	40%	0%	100%	5.0 IP 8 K, 0 H, 0 BB	'+110
Max Fried	'+105	SP	L	ATL	@	COL	20th	18th	er	2.5	1,0,2,4,1,1,1,5,1,5	2.21	42%	30%	27%	40%	26.3 IP 21 K, 24 H, 6 BB	-140
Aaron Nola	-120	SP	R	PHI	@	ARI	1st	14th	er	2.5	8,3,1,3,3,1,4,1,2,4	2.48	39%	60%	46%	80%	6.2 IP 9 K, 6 H, 1 BB	-115
Matt Waldron	'+115	SP	R	SD	@	MIA	29th	28th	er	2.5	2,1,2,3,3,4,1,3,5,1	2.35	39%	50%	38%	0%	7.0 IP 8 K, 0 H, 0 BB	-155
Carlos Rodon	'+105	SP	L	NYY	v	TEX	19th	3rd	er	2.5	1,5,7,8,3,4,2,1,2,3	2.57	39%	60%	33%	40%	29.5 IP 32 K, 29 H, 12 BB	-145
Logan Webb	'+130	SP	R	SF	v	DET	24th	27th	er	2.5	3,2,4,2,2,7,4,4,0,1	2.38	38%	50%	39%	0%	4.2 IP 6 K, 4 H, 3 BB	-175
Simeon Woods Richardson	'+130	SP	R	MIN	v	CLE	12th	26th	er	2.5	1,4,2,3,3,2,2,0,6,3	2.16	37%	50%	0%	0%	5.1 IP 2 K, 0 H, 0 BB	-175
Nathan Eovaldi	-110	SP	R	TEX	@	NYY	2nd	25th	er	2.5	4,2,5,0,2,1,6,2,3,5	2.35	35%	50%	41%	25%	14.2 IP 13 K, 7 H, 2 BB	-125
Justin Steele	'+125	SP	L	CHC	@	CHW	30th	29th	er	2.5	0,2,2,3,1,0,5,2,5,2	2.28	33%	30%	30%	0%		-170
Sean Manaea	'+105	SP	L	NYM	@	SEA	27th	12th	er	2.5	1,3,0,1,0,3,5,2,0,0	2.0	32%	30%	43%	53%	2.0 IP 2 K, 4 H, 0 BB	-145
Michael Wacha	'+105	SP	R	KC	v	STL	22nd	19th	er	2.5	2,2,1,1,1,3,0,3,2,2	2.25	30%	20%	38%	33%	12.0 IP 9 K, 6 H, 1 BB	-140
Tobias Myers	-105	SP	R	MIL	v	CIN	14th	9th	er	2.5	0,1,0,1,3,4,0,2,1,1	1.71	29%	20%	0%	0%		-130
Yariel Rodriguez	'+125	SP	R	TOR	v	OAK	26th	30th	er	2.5	1,3,2,4,1,0,2,2,3,0	1.73	27%	30%	0%	0%		-170
Andre Pallante	-140	RP	R	STL	@	KC	10th	23rd	er	2.5	6,0,1,5,0,1,4,1,3,5	1.65	25%	50%	8%	50%	8.1 IP 5 K, 3 H, 1 BB	'+105
Osvaldo Bido	-125	RP	R	OAK	@	TOR	23rd	16th	er	2.5	4,2,0,0,1,0,0,1,7,2	1.7	20%	20%	0%	0%		-110
Nick Martinez	-120	RP	R	CIN	@	MIL	6th	17th	er	2.5	0,2,1,0,0,0,0,0,1,0	1.0	19%	0%	24%	17%	10.0 IP 7 K, 9 H, 4 BB	-115
River Ryan	'+125	SP	R	LAD	v	PIT	18th	22nd	er	2.5	0,1,2	1.0	0%	0%	0%	0%		-170
