NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Abraham Toro	'+950	3B	S	6	.247	OAK	@	TOR	-	-	triples	0.5		0.0	0%	0%	0%	0%	.238 5-21, 1 HR, 4 RBI, 0 BB, 7 SO	Rodriguez	R		-5000
Daulton Varsho	'+750	LF	L	6	.205	TOR	v	OAK	-	-	triples	0.5		0.0	0%	0%	0%	0%	.154 4-26, 0 HR, 0 RBI, 3 BB, 8 SO	Bido	R		-2500
Lawrence Butler	'+1000	RF	L	1	.237	OAK	@	TOR	-	-	triples	0.5		0.0	0%	0%	0%	0%	.375 3-8, 2 HR, 3 RBI, 0 BB, 3 SO	Rodriguez	R		-6000
Jackson Merrill	'+1100	CF	L	6	.293	SD	@	MIA	-	-	triples	0.5		0.0	0%	0%	0%	0%	.455 5-11, 1 HR, 2 RBI, 1 BB, 0 SO	Munoz	R		-10000
Xavier Edwards	'+1200	SS	S	1	.364	MIA	v	SD	-	-	triples	0.5		0.0	0%	0%	0%	0%	.000 0-4, 0 HR, 0 RBI, 0 BB, 0 SO	Waldron	R		-20000
Jarren Duran	'+600	LF	L	1	.293	BOS	v	HOU	-	-	triples	0.5		0.0	0%	0%	0%	0%	.250 4-16, 1 HR, 3 RBI, 1 BB, 4 SO	Arrighetti	R		-1400
Bobby Witt	'+850	SS	R	2	.344	KC	v	STL	-	-	triples	0.5		0.0	0%	0%	0%	0%	.276 8-29, 2 HR, 6 RBI, 1 BB, 6 SO	Pallante	R	.000 0-4, 0 HR, 0 RBI, 0 BB, 1 SO	-3000
Brice Turang	'+1000	2B	L	1	.259	MIL	v	CIN	-	-	triples	0.5		0.0	0%	0%	0%	0%	.193 11-57, 2 HR, 8 RBI, 7 BB, 9 SO	Martinez	R	.000 0-5, 0 HR, 0 RBI, 0 BB, 2 SO	-6000
Garrett Mitchell	'+1200	CF	L	3	.278	MIL	v	CIN	-	-	triples	0.5		0.0	0%	0%	0%	0%	.200 2-10, 0 HR, 0 RBI, 2 BB, 3 SO	Martinez	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	-20000
Sal Frelick	'+1200	RF	L	8	.273	MIL	v	CIN	-	-	triples	0.5		0.0	0%	0%	0%	0%	.300 9-30, 1 HR, 3 RBI, 6 BB, 5 SO	Martinez	R	.500 1-2, 0 HR, 2 RBI, 0 BB, 0 SO	-20000
Corbin Carroll	'+1100	CF	L	1	.215	ARI	v	PHI	-	-	triples	0.5		0.0	0%	0%	0%	0%	.222 8-36, 1 HR, 3 RBI, 3 BB, 8 SO	Nola	R	.167 1-6, 0 HR, 1 RBI, 0 BB, 1 SO	-10000
Jake Mccarthy	'+700	RF	L	-	.295	ARI	v	PHI	-	-	triples	0.5		0.0	0%	0%	0%	0%	.324 11-34, 1 HR, 3 RBI, 0 BB, 8 SO	Nola	R	.500 4-8, 1 HR, 5 RBI, 0 BB, 4 SO	-1800
Brenton Doyle	'+1200	CF	R	3	.261	COL	v	ATL	-	-	triples	0.5		0.0	0%	0%	0%	0%	.167 4-24, 1 HR, 3 RBI, 2 BB, 10 SO	Fried	L		-20000
