NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Carlos Rodon	'+165	SP	L	-	.237	NYY	v	TEX	-	-	w	0.5	1,1,1,1,1,1,1,1,1,1	0.52	52%	100%	0%	0%	29.5 IP 32 K, 29 H, 12 BB	Eovaldi	R		-230
Corbin Burnes	+0	SP	R	-	.219	BAL	@	TB	-	-	w	0.5	1,1,1,1,1,1,1,1,1,1	0.52	52%	100%	0%	0%	7.0 IP 6 K, 0 H, 0 BB	Alexander	L		-185
Aaron Nola	'+150	SP	R	-	.230	PHI	@	ARI	-	-	w	0.5	1,1,1,1,1,1,1,1,1,1	0.48	48%	100%	0%	0%	6.2 IP 9 K, 6 H, 1 BB	Gallen	R		-205
Zac Gallen	'+195	SP	R	-	.245	ARI	v	PHI	-	-	w	0.5	1,1,1,1,1,1,1,1,1	0.47	47%	100%	0%	0%	5.2 IP 3 K, 5 H, 2 BB	Nola	R		-270
Paul Skenes	'+140	SP	R	-	.202	PIT	@	LAD	-	-	w	0.5	1,1,1,1,1,1	0.43	43%	100%	0%	0%	5.0 IP 8 K, 0 H, 0 BB	Ryan	R		-190
Nathan Eovaldi	'+195	SP	R	-	.223	TEX	@	NYY	-	-	w	0.5	1,1,1,1,1,1,1,1	0.4	40%	100%	0%	0%	14.2 IP 13 K, 7 H, 2 BB	Rodon	L		-275
Michael Wacha	'+145	SP	R	-	.248	KC	v	STL	-	-	w	0.5	1,1,1,1,1,1,1,1	0.4	40%	100%	0%	0%	12.0 IP 9 K, 6 H, 1 BB	Pallante	R		-200
Logan Webb	'+145	SP	R	-	.264	SF	v	DET	-	-	w	0.5	1,1,1,1,1,1,1,1,1	0.38	38%	100%	0%	0%	4.2 IP 6 K, 4 H, 3 BB	Hurter	L		-200
Max Fried	-105	SP	L	-	.229	ATL	@	COL	-	-	w	0.5	1,1,1,1,1,1,1	0.37	37%	100%	0%	0%	26.3 IP 21 K, 24 H, 6 BB	Hudson	R		-125
Sean Manaea	'+205	SP	L	-	.217	NYM	@	SEA	-	-	w	0.5	1,1,1,1,1,1,1,1	0.36	36%	100%	0%	0%	2.0 IP 2 K, 4 H, 0 BB	Gilbert	R		-295
Tobias Myers	'+165	SP	R	-	.233	MIL	v	CIN	-	-	w	0.5	1,1,1,1,1,1	0.35	35%	100%	0%	0%		Martinez	R		-225
River Ryan	'+280	SP	R	-	0	LAD	v	PIT	-	-	w	0.5	1	0.33	33%	100%	0%	0%		Skenes	R		-425
Matt Waldron	'+115	SP	R	-	.231	SD	@	MIA	-	-	w	0.5	1,1,1,1,1,1,1	0.3	30%	100%	0%	0%	7.0 IP 8 K, 0 H, 0 BB	Munoz	R		-160
Logan Gilbert	'+140	SP	R	-	.197	SEA	v	NYM	-	-	w	0.5	1,1,1,1,1,1	0.26	26%	100%	0%	0%	6.2 IP 9 K, 7 H, 0 BB	Manaea	L		-195
Osvaldo Bido	'+250	RP	R	-	0	OAK	@	TOR	-	-	w	0.5	1,1	0.2	20%	100%	0%	0%		Rodriguez	R		-360
Spencer Arrighetti	'+145	SP	R	-	.262	HOU	@	BOS	-	-	w	0.5	1,1,1,1	0.2	20%	100%	0%	0%		Keller	R		-195
Andre Pallante	'+210	RP	R	-	.259	STL	@	KC	-	-	w	0.5	1,1,1,1	0.2	20%	100%	0%	0%	8.1 IP 5 K, 3 H, 1 BB	Wacha	R		-295
Griffin Canning	'+140	SP	R	-	.265	LAA	@	WSH	-	-	w	0.5	1,1,1,1	0.17	17%	100%	0%	0%	5.0 IP 4 K, 5 H, 0 BB	Corbin	L		-190
Justin Steele	-130	SP	L	-	.220	CHC	@	CHW	-	-	w	0.5	1,1,1	0.17	17%	100%	0%	0%		Flexen	R		-105
Simeon Woods Richardson	'+190	SP	R	-	.239	MIN	v	CLE	-	-	w	0.5	1,1,1	0.16	16%	100%	0%	0%	5.1 IP 2 K, 0 H, 0 BB	Williams	R		-265
Roddery Munoz	'+320	SP	R	-	.246	MIA	v	SD	-	-	w	0.5	1,1	0.14	14%	100%	0%	0%		Waldron	R		-500
Gavin Williams	'+220	SP	R	-	.273	CLE	@	MIN	-	-	w	0.5	1	0.14	14%	100%	0%	0%	6.0 IP 4 K, 1 H, 5 BB	Richardson	R		-320
Patrick Corbin	'+225	SP	L	-	.304	WSH	v	LAA	-	-	w	0.5	1,1	0.09	9%	100%	0%	0%	5.0 IP 3 K, 7 H, 3 BB	Canning	R		-330
Chris Flexen	'+400	SP	R	-	.276	CHW	v	CHC	-	-	w	0.5	1,1	0.08	8%	100%	0%	0%	17.2 IP 11 K, 24 H, 6 BB	Steele	L		-700
