NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Andrew Mccutchen	+0	RF	R	1	.234	PIT	@	TOR	-	-	x+_hits	0		0.0	0%	0%	0%	0%		Kikuchi	L		'+750
Bo Bichette	+0	SS	R	4	.251	TOR	v	PIT	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.308 4-13, 0 HR, 0 RBI, 1 BB, 2 SO	Keller	R		'+475
Bryan Reynolds	+0	LF	S	2	.254	PIT	@	TOR	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.154 2-13, 0 HR, 0 RBI, 0 BB, 4 SO	Kikuchi	L		'+800
Connor Joe	+0	1B	R	3	.286	PIT	@	TOR	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.222 2-9, 0 HR, 1 RBI, 0 BB, 4 SO	Kikuchi	L		'+750
Danny Jansen	+0	C	R	2	.299	TOR	v	PIT	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.222 2-9, 0 HR, 2 RBI, 0 BB, 4 SO	Keller	R		'+650
Daulton Varsho	+0	LF	L	6	.205	TOR	v	PIT	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.385 5-13, 1 HR, 4 RBI, 1 BB, 1 SO	Keller	R		'+425
Davis Schneider	+0	LF	R	1	.241	TOR	v	PIT	-	-	x+_hits	0		0.0	0%	0%	0%	0%		Keller	R		'+900
Edward Olivares	+0	RF	R	4	.237	PIT	@	TOR	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.278 5-18, 1 HR, 3 RBI, 0 BB, 4 SO	Kikuchi	L		'+850
George Springer	+0	RF	R	7	.207	TOR	v	PIT	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.214 3-14, 1 HR, 2 RBI, 2 BB, 0 SO	Keller	R		'+600
Isiah Kiner Falefa	+0	3B	R	8	.270	TOR	v	PIT	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO	Keller	R		'+750
Justin Turner	+0	1B	R	5	.217	TOR	v	PIT	-	-	x+_hits	0		0.0	0%	0%	0%	0%	.200 2-10, 0 HR, 0 RBI, 3 BB, 1 SO	Keller	R		'+700
