NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Andrew Mccutchen	+0	RF	R	1	.234	PIT	@	TOR	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%		Kikuchi	L		'+4000
Danny Jansen	+0	C	R	2	.299	TOR	v	PIT	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.222 2-9, 0 HR, 2 RBI, 0 BB, 4 SO	Keller	R		'+4500
Adam Duvall	+0	LF	R	8	.196	ATL	v	OAK	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.357 5-14, 1 HR, 4 RBI, 0 BB, 6 SO	Brooks	R		'+2200
Austin Riley	+0	3B	R	2	.227	ATL	v	OAK	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.182 2-11, 0 HR, 1 RBI, 0 BB, 2 SO	Brooks	R		'+2500
Brent Rooker	+0	LF	R	2	.280	OAK	@	ATL	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.250 1-4, 0 HR, 0 RBI, 1 BB, 1 SO	Sale	L		'+3500
Marcell Ozuna	+0	DH	R	3	.312	ATL	v	OAK	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.000 0-11, 0 HR, 0 RBI, 0 BB, 3 SO	Brooks	R		'+1700
Matt Olson	+0	1B	L	4	.234	ATL	v	OAK	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.182 2-11, 1 HR, 1 RBI, 2 BB, 4 SO	Brooks	R		'+1900
Ozzie Albies	+0	2B	S	5	.283	ATL	v	OAK	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.182 2-11, 1 HR, 2 RBI, 0 BB, 1 SO	Brooks	R		'+4000
Rafael Devers	+0	3B	L	4	.279	BOS	v	DET	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.364 8-22, 3 HR, 7 RBI, 2 BB, 3 SO	Olson	R		'+3000
Spencer Torkelson	+0	1B	R	7	.205	DET	@	BOS	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.280 7-25, 1 HR, 4 RBI, 0 BB, 9 SO	Criswell	R		'+3500
Fernando Tatis	+0	RF	R	2	.249	SD	@	KC	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.214 3-14, 0 HR, 1 RBI, 0 BB, 1 SO	Marsh	R		'+4000
Salvador Perez	+0	C	R	4	.320	KC	v	SD	-	-	x+_home_runs	0		0.0	0%	0%	0%	0%	.077 1-13, 0 HR, 2 RBI, 0 BB, 4 SO	Musgrove	R		'+4000
