	FPTS	TEAM	PLAYER	PTS	REB	AST	STL	BLK	TO
F1	60.6	MIL	Giannis Antetokounmpo	27.72	12.36	6.48	0.94	1.16	1.68
F2	42.5	POR	Deni Avdija	19.98	8.45	4.43	1.19	0.43	1.61
F3	42.2	ORL	Paolo Banchero	23.83	6.89	4.38	0.65	0.41	1.67
F4	40.4	PHX	Kevin Durant	24.0	5.54	4.04	0.65	0.61	1.74
F5	40.4	TOR	Scottie Barnes	18.06	6.49	4.83	1.47	0.9	1.75
F6	38.5	CHA	Miles Bridges	20.66	6.65	3.87	0.6	0.57	1.4
F7	38.4	CLE	Evan Mobley	16.56	9.23	3.0	0.56	1.07	1.4
F8	37.3	LAC	Kawhi Leonard	20.16	5.24	3.18	1.45	0.44	1.2
F9	37.0	MIN	Julius Randle	17.74	6.52	5.42	0.6	0.26	1.19
F10	36.8	OKC	Chet Holmgren	14.63	7.79	1.99	0.84	1.99	1.0
F11	36.6	ORL	Franz Wagner	21.23	5.31	3.99	0.65	0.25	1.28
F12	34.4	ATL	Onyeka Okongwu	13.53	9.71	2.06	0.67	0.69	0.82
F13	33.0	DAL	Naji Marshall	15.99	6.11	3.07	1.21	0.25	1.13
F14	31.7	DAL	Pj Washington	13.94	6.84	2.28	0.84	0.83	0.89
F15	28.9	PHI	Guerschon Yabusele	11.78	8.03	2.39	0.6	0.32	1.27
F16	28.8	BKN	Cameron Johnson	16.95	3.8	2.86	0.67	0.35	1.17
F17	28.6	POR	Toumani Camara	10.67	5.21	2.15	1.72	0.83	0.81
F18	28.5	MIN	Jaden Mcdaniels	12.88	5.48	1.88	1.18	0.54	0.65
F19	24.4	UTAH	Lauri Markkanen	15.72	3.88	0.97	0.48	0.25	0.81
F20	23.2	BKN	Ziaire Williams	10.86	5.08	1.63	0.68	0.38	0.89
F21	20.5	ATL	Zaccharie Risacher	11.49	3.42	1.2	0.57	0.35	0.66
F22	19.4	PHX	Ryan Dunn	9.43	4.2	0.76	0.57	0.47	0.57
F23	19.1	MIL	Taurean Prince	7.91	3.56	1.93	1.03	0.2	0.7
F24	18.6	PHI	Justin Edwards	9.63	3.44	1.07	0.57	0.38	0.67
F25	17.6	LAL	Dorian Finney Smith	8.15	4.12	0.86	0.67	0.18	0.57
F26	15.7	PHX	Royce Oneale	5.98	3.67	1.5	0.62	0.23	0.61
F27	13.6	ATL	Mouhamed Gueye	4.68	3.16	0.58	0.59	0.66	0.41
F28	13.4	LAC	Nicolas Batum	5.55	2.21	0.89	0.69	0.56	0.48
F29	9.7	DAL	Kessler Edwards	-	5.28	1.17	-	-	-
