EV	EV Book	Imp	Game	Prop	O/U	Player	FD	DK	MGM	ESPN	PN	Kambi/BR	CZ	L10%	L5%	SZN	Splits
11.7	310 FD	24%	houston @ duke	3ptm	o 3.5	Tyrese Proctor	'+310	'+225	-	'+210	-	-	-	30%	60%	27%	3,4,2,4,2,5,3,2,1,1,2,1,1,4,3,1,0,3,1,0,2,4,4,3,5,1,1,1,1,2,0,0,6,6,7,1,2
7.3	154 FD	39%	florida @ auburn	ast	o 3.5	Tahaad Pettiford	'+154	'+110	'+115/-150	'+145	-	-	-	40%	20%	32%	4,3,4,3,1,3,1,3,3,5,0,5,5,2,0,2,3,2,1,2,5,3,3,2,0,4,5,6,4,2,6,1,2,5,3,3,3
7.2	-155 FD	61%	florida @ auburn	ast	o 2.5	Tahaad Pettiford	-155/+115	-230	-	-	-	-	-	70%	80%	62%	4,3,4,3,1,3,1,3,3,5,0,5,5,2,0,2,3,2,1,2,5,3,3,2,0,4,5,6,4,2,6,1,2,5,3,3,3
5.1	-114 FD	53%	florida @ auburn	pts	o 19.5	Walter Clayton	-114/-114	-150	-	-	-	-	-	70%	80%	38%	29,9,12,25,17,7,21,19,27,25,12,8,12,33,7,12,28,19,16,17,10,19,19,10,18,13,18,10,22,23,18,22,22,23,23,13,30
5.0	115 ESPN	47%	florida @ auburn	pts+ast	o 17.5	Tahaad Pettiford	-	-110	-	'+115	-	-	-	60%	60%	30%	4,24,13,10,15,13,7,23,18,14,7,23,14,12,10,17,15,26,9,12,14,14,17,11,13,8,7,10,25,21,25,6,2,21,26,23,13
5.0	290 DK	26%	florida @ auburn	pts	o 14.5	Alex Condon	'+220	'+290	-	-	-	-	-	20%	-	20%	13,23,10,7,8,8,12,17,19,5,9,12,2,7,12,12,8,11,5,14,4,19,17,0,9,11,27,17,9,8,13,12,5,6,7
4.7	110 ESPN	48%	houston @ duke	pts	o 11.5	Jwan Roberts	-	-115	-	'+110/-140	-	-	-	20%	20%	34%	14,12,11,4,11,9,4,2,6,4,20,6,12,10,22,21,11,24,5,18,14,20,10,9,10,4,16,8,6,11,2,6,18,5,9
4.2	150 DK	40%	houston @ duke	ast	o 4.5	Milos Uzan	'+120/-160	'+150	-	-	-	-	-	30%	40%	47%	10,4,5,6,1,9,3,3,5,4,6,4,8,3,2,4,5,5,9,2,2,5,6,6,5,5,1,2,2,2,3,1,5,4,3,8,6,3
4.2	100 MGM	50%	houston @ duke	3ptm	o 2.5	Lj Cryer	-136	-115	'+100/-130	-130	-	-	-	50%	40%	55%	4,1,2,2,2,0,5,4,6,0,5,4,3,2,1,5,2,3,1,2,3,4,3,4,3,4,5,1,2,4,6,2,4,1,4,6,1,2
4.1	-106 FD	51%	houston @ duke	pts+ast	o 23.5	Cooper Flagg	-106/-120	-135	-	-	-	-	-	30%	40%	47%	23,16,28,14,27,16,16,26,21,8,28,15,30,27,24,49,19,32,30,31,28,13,19,30,25,19,21,22,20,35,21,2,19,24,37,19
