	vs ECR	PTS	PLAYER	ATTD	REC	REC_YD	INC
WR1	'+2	14.9	Aj Brown	2.93	3.11	8.87	,,
WR2	-1	14.3	Amon Ra St Brown	3.75	3.53	6.97	,,
WR3	-1	14.0	Justin Jefferson	2.99	3.11	7.91	,,
WR4	'+1	13.0	Nico Collins	2.92	2.84	7.26	,,
WR5	-1	12.2	Puka Nacua	2.19	3.1	6.9	,,
WR6	0	12.1	Cooper Kupp	2.36	3.39	6.35	,,
WR7	0	11.8	Tyreek Hill	2.91	2.66	6.27	,,
WR8	'+1	11.7	Ceedee Lamb	1.99	3.05	6.66	,,
WR9	'+5	11.7	Ladd Mcconkey	2.5	2.67	6.49	,,
WR10	-2	10.9	Dk Metcalf	2.25	2.39	6.27	,,
WR11	'+4	10.6	Zay Flowers	2.22	2.53	5.85	,,
WR12	'+6	10.5	Jaxon Smith Njigba	2.08	2.98	5.4	,,
WR13	'+3	10.3	Courtland Sutton	2.16	2.41	5.74	,,
WR14	-2	10.3	Terry Mclaurin	2.47	2.07	5.72	,,
WR15	-4	10.0	Mike Evans	2.84	2.07	5.1	,,
WR16	-6	10.0	Malik Nabers	1.6	2.78	5.6	,,
WR17	'+5	9.7	Calvin Ridley	1.49	2.37	5.8	,,
WR18	'+3	9.3	Marvin Harrison	2.17	2.08	5.04	,,
WR19	'+1	9.3	Jayden Reed	2.3	2.03	4.93	,,
WR20	-3	9.2	Deebo Samuel	1.89	1.9	4.17	,,
WR21	'+7	9.0	Jakobi Meyers	1.44	2.67	4.93	,,
WR22	'+1	8.9	Josh Downs	1.41	2.23	5.23	,,
WR23	'+3	8.6	Deandre Hopkins	2.06	2.04	4.5	,,
WR24	'+1	8.5	Tank Dell	1.66	2.1	4.76	,,
WR25	'+4	8.3	Dj Moore	1.36	2.4	4.55	,,
WR26	-7	8.2	Jauan Jennings	1.37	2.05	4.81	,,
WR27	0	8.0	Quentin Johnston	2.05	1.0	4.95	,,
WR28	'+10	7.9	Michael Pittman	1.41	1.96	4.57	,,
WR29	'+1	7.5	Jaylen Waddle	1.77	1.71	4.0	,,
WR30	'+2	7.5	Rome Odunze	1.1	1.86	4.5	,,
WR31	-7	7.4	Jameson Williams	1.78	1.47	4.19	,,
WR32	'+3	7.3	Romeo Doubs	1.6	1.75	3.97	,,
WR33	'+1	7.2	Christian Watson	1.57	1.58	4.07	,,
WR34	'+6	7.0	Demario Douglas	1.17	2.0	3.88	,,
WR35	'+2	6.9	Keenan Allen	1.01	2.03	3.84	,,
WR36	'+7	6.8	Tyler Lockett	1.28	1.72	3.77	,,
WR37	'+2	6.8	Wandale Robinson	1.01	2.12	3.62	,,
WR38	'+3	6.7	Jordan Addison	1.31	1.6	3.81	,,
WR39	'+7	6.7	Noah Brown	1.47	1.51	3.7	,,
WR40	'+5	6.6	Rashod Bateman	1.43	1.53	3.59	,,
WR41	-5	6.4	Xavier Worthy	1.68	1.42	3.1	,,
WR42	'+17	6.3	Adam Thielen	0.94	2.05	3.27	,rec,
WR43	-1	6.2	Xavier Legette	0.99	1.6	3.63	,rec,rec_yd,
WR44	'+7	6.0	Jalen Coker	0.83	1.6	3.54	,rec,rec_yd,
WR45	'+7	5.9	Kayshon Boutte	1.14	1.42	3.33	,,
WR46	'+2	5.8	Joshua Palmer	1.4	0.8	3.62	,,
WR47	'+6	5.8	Devaughn Vele	1.14	1.64	3.01	,,
WR48	-1	5.6	Nick Westbrook Ikhine	0.95	1.36	3.32	,,
WR49	'+9	5.5	Tre Tucker	1.1	1.42	2.51	,,
WR50	0	5.1	Alec Pierce	1.03	1.05	3.0	,,
WR51	'+3	5.1	Darius Slayton	0.86	1.45	2.74	,rec,
WR52	'+3	5.0	Michael Wilson	1.11	1.3	2.6	,,
WR53	'+8	5.0	Jalen Tolbert	0.75	1.3	2.9	,rec,rec_yd,
WR54	'+6	4.8	Kendrick Bourne	0.94	1.24	2.58	,,
WR55	'+1	4.7	Demarcus Robinson	1.07	1.15	2.44	,,
WR56	'+27	4.5	Jahan Dotson	0.67	1.05	2.76	,rec,rec_yd,
WR57	0	4.2	Jalen Mcmillan	0.93	1.0	2.25	,,
WR58	'+19	3.8	Tyler Boyd	0.65	1.05	2.1	,rec,rec_yd,
