Team	Player	AVG PTS	WK15 PTS	SZN Snap %	WK15 Snap %	RB RZ Look Share	WK15 RB RZ Share	RB Target Share	WK15 RB Target Share
ARI	James Conner	14.3	28.3	65%	71%	86%	89%	65%	100%
ARI	Trey Benson	3.7	2.2	17%	16%	5%	0%	9%	0%
ARI	Deejay Dallas	0.3	1.5	9%	17%	5%	11%	0%	0%
ARI	Emari Demercado	3.6	0	20%	0	8%	-%	29%	-%
-	-	-	-	-	-	-	-	-	-
ATL	Bijan Robinson	16.6	14.0	73%	76%	63%	89%	86%	100%
ATL	Tyler Allgeier	6.0	4.3	26%	26%	37%	11%	14%	0%
ATL	Jase Mcclellan	1.6	0	15%	0	0%	-%	0%	-%
ATL	Avery Williams	0.0	0	4%	0%	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
BAL	Justice Hill	7.4	15.3	44%	37%	22%	0%	72%	100%
BAL	Derrick Henry	18.2	6.7	55%	46%	74%	60%	22%	0%
BAL	Rasheen Ali	3.2	3.2	17%	17%	40%	40%	0%	0%
BAL	Patrick Ricard	2.8	0	39%	36%	2%	0%	6%	0%
BAL	Chris Collier	0	0	5%	0	0%	-%	0%	-%
BAL	Keaton Mitchell	0	0	3%	0	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
BUF	James Cook	15.7	25.8	51%	41%	62%	56%	52%	12%
BUF	Ty Johnson	5.4	14.8	28%	30%	19%	22%	30%	62%
BUF	Ray Davis	6.8	9.9	22%	26%	24%	22%	20%	25%
BUF	Reggie Gilliam	0.0	0	11%	17%	0%	0%	0%	0%
-	-	-	-	-	-	-	-	-	-
CAR	Chuba Hubbard	13.4	6.9	77%	95%	79%	0%	63%	100%
CAR	Mike Boone	1.0	1.4	6%	5%	0%	0%	0%	0%
CAR	Miles Sanders	4.0	0	31%	0	21%	-%	43%	-%
CAR	Jonathon Brooks	2.0	0	11%	0	22%	-%	23%	-%
CAR	Raheem Blackshear	0.0	0	3%	0	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
CHI	Dandre Swift	11.6	9.4	66%	69%	57%	100%	68%	100%
CHI	Travis Homer	0.6	0.7	19%	25%	0%	0%	15%	0%
CHI	Roschon Johnson	6.4	0	31%	0	41%	-%	31%	-%
CHI	Darrynton Evans	0.3	0	8%	0%	0%	-%	0%	-%
CHI	Khari Blasingame	0.0	0	9%	0	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
CIN	Chase Brown	14.5	24.8	59%	93%	72%	100%	67%	100%
CIN	Zack Moss	8.8	0	62%	0	56%	-%	56%	-%
CIN	Kendall Milton	0	0	7%	0	0%	-%	0%	-%
CIN	Trayveon Williams	0	0	5%	0%	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
CLE	Jerome Ford	7.6	17.4	55%	58%	17%	100%	63%	67%
CLE	Nick Chubb	7.6	2.1	42%	34%	90%	0%	34%	33%
CLE	Donta Foreman	3.2	0	22%	0	41%	-%	11%	-%
CLE	Pierre Strong	2.0	0	21%	10%	5%	0%	29%	0%
-	-	-	-	-	-	-	-	-	-
DAL	Rico Dowdle	11.3	14.9	55%	74%	57%	25%	57%	0%
DAL	Ezekiel Elliott	3.5	4.6	28%	19%	42%	75%	22%	100%
DAL	Dalvin Cook	1.8	0	18%	0	0%	-%	10%	-%
DAL	Deuce Vaughn	1.7	0	10%	0	14%	-%	12%	-%
DAL	Hunter Luepke	1.7	0.0	31%	32%	5%	0%	20%	0%
-	-	-	-	-	-	-	-	-	-
DEN	Jaleel Mclaughlin	5.1	4.9	28%	24%	25%	100%	26%	43%
DEN	Javonte Williams	8.1	3.3	55%	54%	53%	0%	59%	43%
DEN	Audric Estime	2.2	2.3	14%	21%	16%	0%	7%	14%
DEN	Tyler Badie	2.6	0	11%	0	11%	-%	16%	-%
DEN	Michael Burton	1.5	0	14%	11%	7%	0%	8%	0%
DEN	Blake Watson	0	0	2%	0	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
DET	Jahmyr Gibbs	17.6	25.9	54%	75%	48%	100%	56%	64%
DET	David Montgomery	14.3	5.5	42%	30%	52%	0%	43%	36%
DET	Craig Reynolds	1.0	0.0	6%	0%	0%	-%	0%	-%
DET	Sione Vaki	0.5	0.0	4%	0%	0%	-%	2%	-%
-	-	-	-	-	-	-	-	-	-
GB	Josh Jacobs	16.7	19.6	67%	75%	73%	100%	61%	80%
GB	Chris Brooks	2.4	2.0	22%	25%	17%	0%	24%	20%
GB	Emanuel Wilson	4.0	0.9	21%	9%	13%	0%	19%	0%
GB	Marshawn Lloyd	2.3	0	14%	0	0%	-%	100%	-%
-	-	-	-	-	-	-	-	-	-
HOU	Joe Mixon	18.8	8.1	67%	64%	89%	100%	79%	100%
HOU	Dare Ogunbowale	3.1	3.5	28%	22%	11%	0%	28%	0%
HOU	Dameon Pierce	2.9	0	12%	14%	5%	0%	5%	0%
HOU	Jj Taylor	1.8	0	11%	0	8%	-%	16%	-%
HOU	British Brooks	0.1	0	6%	0	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
IND	Jonathan Taylor	13.2	9.6	81%	68%	87%	0%	66%	50%
IND	Trey Sermon	3.7	2.2	24%	24%	25%	0%	28%	50%
IND	Tyler Goodson	3.6	0.3	15%	7%	14%	0%	25%	0%
IND	Evan Hull	0	0	0%	0	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
JAX	Travis Etienne	7.5	10.5	56%	73%	59%	60%	78%	83%
JAX	Tank Bigsby	8.5	4.2	40%	26%	54%	40%	16%	17%
JAX	Dernest Johnson	2.6	0	27%	0	19%	-%	29%	-%
