NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Matthew Tkachuk	FLA	-115	H	g	0.5	0.52	47% - 33%	41% - 40%	41%	40%	60%	1,1,0,2,0,1,1,0,0,0	41%	'+105	0
Carter Verhaeghe	FLA	-115	H	g	0.5	0.49	44% - 28%	40% - 33%	37%	40%	20%	1,0,0,0,0,0,1,1,0,1	26%	'+150	0
Mark Stone	VGK	-105	A	g	0.5	0.4	40% - 20%	29% - 38%	34%	33%	40%	1,0,1,0,0,0,1,0,0,1	18%	'+210	0
Sam Reinhart	FLA	-115	H	g	0.5	0.38	40% - 26%	29% - 39%	34%	33%	20%	0,0,0,0,1,0,0,0,1,1	33%	'+205	0
Jonathan Marchessault	VGK	-105	A	g	0.5	0.42	39% - 21%	35% - 31%	33%	53%	80%	1,2,1,1,0,1,1,0,3,0	35%	'+115	0
Jack Eichel	VGK	-105	A	g	0.5	0.38	39% - 14%	26% - 34%	30%	20%	0%	0,0,0,0,0,0,0,0,0,1	35%	'+145	0
Reilly Smith	VGK	-105	A	g	0.5	0.3	32% - 15%	28% - 24%	26%	20%	20%	0,0,1,0,0,0,0,0,1,1	26%	'+255	0
Aleksander Barkov	FLA	-115	H	g	0.5	0.31	35% - 14%	18% - 35%	26%	27%	0%	0,0,0,0,0,1,1,0,0,0	42%	'+185	0
William Carrier	VGK	-105	A	g	0.5	0.25	33% - 8%	29% - 20%	24%	13%	20%	0,0,0,1,0,1,0,0,0,0	16%	'+550	0
Michael Amadio	VGK	-105	A	g	0.5	0.25	29% - 14%	21% - 26%	23%	27%	40%	0,1,0,1,0,0,0,0,1,0	19%	'+475	0
Chandler Stephenson	VGK	-105	A	g	0.5	0.24	31% - 8%	17% - 29%	23%	27%	20%	0,0,0,0,1,0,1,0,0,0	29%	'+330	0
Sam Bennett	FLA	-115	H	g	0.5	0.25	28% - 14%	22% - 22%	22%	7%	0%	0,0,0,0,0,0,0,0,0,0	26%	'+195	0
Brandon Montour	FLA	-115	H	g	0.5	0.23	28% - 13%	22% - 21%	21%	27%	20%	1,0,0,0,0,0,0,0,0,0	13%	'+310	0
William Karlsson	VGK	-105	A	g	0.5	0.23	25% - 14%	20% - 21%	21%	20%	20%	0,0,0,2,0,0,0,2,1,0	17%	'+290	0
Paul Cotter	VGK	-105	A	g	0.5	0.24	32% - 4%	14% - 26%	20%	13%	20%	0,0,0,0,1,0,0,0,1,0	33%	'+550	0
Ivan Barbashev	VGK	-105	A	g	0.5	0.22	23% - 13%	20% - 18%	19%	27%	20%	0,0,0,0,1,1,0,0,0,0	27%	'+350	0
Eetu Luostarinen	FLA	-115	H	g	0.5	0.19	24% - 14%	14% - 25%	19%	7%	0%	0,0,0,0,0,0,0,0,0,0	12%	'+350	0
Nicolas Roy	VGK	-105	A	g	0.5	0.19	25% - 6%	18% - 18%	18%	13%	20%	0,1,0,0,0,0,0,0,0,0	20%	'+400	0
Anthony Duclair	FLA	-115	H	g	0.5	0.16	16% - 15%	17% - 15%	16%	20%	40%	0,0,1,1,0,0,0,0,0,1	0%	'+285	0
Phil Kessel	VGK	-105	A	g	0.5	0.16	19% - 12%	19% - 14%	16%	7%	0%	0,0,0,0,0,0,0,1,0,0	10%	'+475	0
Eric Staal	FLA	-115	H	g	0.5	0.18	18% - 12%	13% - 18%	15%	7%	20%	0,0,1,0,0,0,0,0,0,0	0%	'+500	0
